youtuber,video_id,cosine_similarity,js_divergence,l1_distance
jordanmatter,LIyprdaNUTE,1.0,0.0,0.0
jordanmatter,fFW1jzPbDao,1.0,0.0,0.0
jordanmatter,vv88TFlhLdE,1.0,0.0,0.0
jordanmatter,KUCYuDdJQaA,1.0,0.0,0.0
jordanmatter,ilvh7PShS9c,1.0,0.0,0.0
jordanmatter,8AylNRsS6gY,1.0,0.0,0.0
jordanmatter,g3D5xP0XQsk,1.0,0.0,0.0
jordanmatter,wp42BQE_VQM,1.0,0.0,0.0
jordanmatter,UU94kI6SgLg,1.0,0.0,0.0
jordanmatter,NVx7DR9fRNc,1.0,0.0,0.0
jordanmatter,sMb1PO57XKE,1.0,0.0,0.0
jordanmatter,wkVr-0VQC_w,1.0,0.0,0.0
jordanmatter,5x_oHzvxmqg,1.0,0.0,0.0
jordanmatter,5isnF_JN8fE,1.0,0.0,0.0
jordanmatter,edYZ2UGTcdo,1.0,0.0,0.0
jordanmatter,KKPjJSC5RHI,1.0,0.0,0.0
jordanmatter,Wbinw207NIY,1.0,0.0,0.0
jordanmatter,5RvyStrm1lo,1.0,0.0,0.0
jordanmatter,oBtOZlaBNEc,1.0,0.0,0.0
jordanmatter,t8twhAWPLX0,1.0,0.0,0.0
jordanmatter,SGvZJ1fulPQ,1.0,0.0,0.0
jordanmatter,IOVe-EIzN-8,1.0,0.0,0.0
jordanmatter,F1ocHjONbl4,1.0,0.0,0.0
jordanmatter,Pd3gZtIeJGg,1.0,0.0,0.0
jordanmatter,q8mC7u028Mw,1.0,0.0,0.0
jordanmatter,0Ch4fC6hmTU,1.0,0.0,0.0
jordanmatter,uUx5G46qwc0,1.0,0.0,0.0
jordanmatter,7dbZUuSqJDs,1.0,0.0,0.0
jordanmatter,dARtcG5DFkY,1.0,0.0,0.0
jordanmatter,WaG2kVerpD8,1.0,0.0,0.0
jordanmatter,e0ikZRU8Wwk,1.0,0.0,0.0
jordanmatter,7IaFN3UQYUM,1.0,0.0,0.0
jordanmatter,CskyDVPbN1g,1.0,0.0,0.0
jordanmatter,fT3Q00EPJ9c,1.0,0.0,0.0
